,O*NET-SOC Code,Title,Probability of Analytical,Predicted Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
547,43-2021.00,Telephone Operators,0.08,0,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",2.52,3.25,2,2.62,2.9,3.36,3.4,3.4
548,43-3011.00,Bill and Account Collectors,0.25,0,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account, preparing statements to credit department if customer fails to respond, initiating repossession proceedings or service disconnection, and keeping records of collection and status of accounts.",2.89,3.5,2.75,2.88,2.52,2.88,3.5,4.22
549,43-3021.00,Billing and Posting Clerks,0.07,0,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",2.77,3.12,2.63,2.56,3.88,2.83,3.34,3.65
550,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.15,0,"Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",2.75,3.25,3.12,2.88,3.31,3.53,3.37,3.53
551,43-3041.00,Gambling Cage Workers,0.06,0,"In a gambling establishment, conduct financial transactions for patrons. Accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May reconcile daily summaries of transactions to balance books. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gambling chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction.",2.71,3.25,2.25,2,2.63,2.23,2.54,2.96
552,43-3051.00,Payroll and Timekeeping Clerks,0.1,0,"Compile and record employee time and payroll data. May compute employees' time worked, production, and commission. May compute and post wages and deductions, or prepare paychecks.",2.7,3.12,2.88,2.88,4.17,3.43,3.37,3.74
553,43-3061.00,Procurement Clerks,0.24,0,Compile information and records to draw up purchase orders for procurement of materials and services.,2.91,3.62,3.5,3,3.23,3.36,3.89,3.56
554,43-3071.00,Tellers,0.15,0,Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.,2.89,3.25,3,2.88,4.11,3.47,3.36,3.83
555,43-4011.00,Brokerage Clerks,0.27,0,"Perform duties related to the purchase, sale, or holding of securities. Duties include writing orders for stock purchases or sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings.",2.96,3.62,3,2.88,3.29,2.69,3.37,4.39
556,43-4021.00,Correspondence Clerks,0.29,0,"Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate reply and preparing correspondence.",3.05,3.75,2.75,2.88,2.99,3.39,3.62,3.81
557,43-4031.00,"Court, Municipal, and License Clerks",0.14,0,"Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees.",2.62,3.45,3,2.71,3.17,3.07,3.07,3.42
558,43-4041.00,"Credit Authorizers, Checkers, and Clerks",0.21,0,"Authorize credit charges against customers' accounts. Investigate history and credit standing of individuals or business establishments applying for credit. May interview applicants to obtain personal and financial data, determine credit worthiness, process applications, and notify customers of acceptance or rejection of credit.",2.92,3.5,3,3.06,3.24,3.38,3.21,3.49
559,43-4051.00,Customer Service Representatives,0.2,0,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",2.95,3.25,2.88,3,3.44,3.66,3.02,3.61
560,43-4061.00,"Eligibility Interviewers, Government Programs",0.34,0,"Determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing.",3.27,3.75,3,3,3.5,3.39,3.11,3.56
561,43-4071.00,File Clerks,0.09,0,"File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. Locate and remove material from file when requested.",2.95,3,2.25,2.25,3.19,3.4,3.27,3.56
562,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",0.15,0,"Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests.",2.91,3.5,2.25,2.75,3.04,3.2,3.26,3.43
563,43-4111.00,"Interviewers, Except Eligibility and Loan",0.22,0,"Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms.",2.89,3.25,3,3.12,4.79,4.3,3.47,4.01
564,43-4121.00,"Library Assistants, Clerical",0.05,0,"Compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials.",2.64,2.88,2.12,2.12,3.08,3.39,3.37,3.33
565,43-4131.00,Loan Interviewers and Clerks,0.5,1,"Interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department. Review loan papers to ensure completeness, and complete transactions between loan establishment, borrowers, and sellers upon approval of loan.",3.32,4,3.5,3,4.16,3.91,3.16,3.51
566,43-4141.00,New Accounts Clerks,0.15,0,Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.,2.7,3.5,2.62,2.62,2.87,2.78,3.13,3.81
567,43-4151.00,Order Clerks,0.21,0,"Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints.",2.79,3.62,3,2.62,4.13,3.87,2.99,3.13
568,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.28,0,"Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons.",2.89,3.62,3.12,2.75,4.4,4.25,3.1,3.38
569,43-4171.00,Receptionists and Information Clerks,0.06,0,"Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization.",2.75,3.12,2.38,2.75,3.22,2.96,3.42,3.4
570,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,0.2,0,"Make and confirm reservations for transportation or lodging, or sell transportation tickets. May check baggage and direct passengers to designated concourse, pier, or track; deliver tickets and contact individuals and groups to inform them of package tours; or provide tourists with travel or transportation information.",2.96,3.62,3,3,3.67,3.09,3.56,3.77
571,43-5011.00,Cargo and Freight Agents,0.24,0,"Expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals and shipping docks. Take orders from customers and arrange pickup of freight and cargo for delivery to loading platform. Prepare and examine bills of lading to determine shipping charges and tariffs.",2.84,3.62,2.75,2.88,3.08,3.11,2.98,3.73
572,43-5011.01,Freight Forwarders,0.25,0,"Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation.",3.18,3.38,3.12,3.12,3.97,3.78,3.41,3.74
573,43-5021.00,Couriers and Messengers,0.03,0,"Pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance.",2.45,2.62,2.25,2.38,2.72,2.5,2.14,2.69
574,43-5031.00,Public Safety Telecommunicators,0.53,1,"Operate telephone, radio, or other communication systems to receive and communicate requests for emergency assistance at 9-1-1 public safety answering points and emergency operations centers. Take information from the public and other sources regarding crimes, threats, disturbances, acts of terrorism, fires, medical emergencies, and other public safety matters. May coordinate and provide information to law enforcement and emergency response personnel. May access sensitive databases and other information sources as needed. May provide additional instructions to callers based on knowledge of and certification in law enforcement, fire, or emergency medical procedures.",3.41,3.88,3,3.12,3.57,3.92,3.32,3.9
575,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",0.4,0,"Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress.",3.07,3.75,2.88,3,2.49,2.85,3,4.15
576,43-5041.00,"Meter Readers, Utilities",0.04,0,"Read meter and record consumption of electricity, gas, water, or steam.",2.59,2.75,2.12,2.62,2.74,2.85,3.33,3.54
577,43-5051.00,Postal Service Clerks,0.07,0,"Perform any combination of tasks in a United States Postal Service (USPS) post office, such as receive letters and parcels; sell postage and revenue stamps, postal cards, and stamped envelopes; fill out and sell money orders; place mail in pigeon holes of mail rack or in bags; and examine mail for correct postage. Includes postal service clerks employed by USPS contractors.",2.63,3.25,2,2.5,3.24,2.85,3.22,3.57
